serial,grid_purchase,grid_feedin
1135739597,17183242.0,167405.0
1083091999,8444567.0,0.0
1057045008,930364.0,3393.0
1654624404,749051.0,313957.0
970568993,621875.0,247073.0
517262015,382913.0,216477.0
1711356005,360364.0,13551.0
1559834999,91651.0,364334.0
1771861586,1598.0,0.0
1028817402,0.0,0.0
2105167400,0.0,16040.0
